%year month day hour minute sea-level-height flag1 flag2
2004 01 16 02 00 0.197 0.002 0
2004 01 16 03 00 0.152 0.007 0
2004 01 16 04 00 0.094 0.020 0
2004 01 16 05 00 0.045 0.005 0
2004 01 16 06 00 0.026 0.003 0
2004 01 16 07 00 0.002 0.008 0
2004 01 16 08 00 -0.034 0.003 0
2004 01 16 09 00 -0.034 0.002 0
2004 01 16 10 00 -0.038 0.008 0
2004 01 16 11 00 -0.004 0.011 0
2004 01 16 12 00 0.043 0.002 0
2004 01 16 13 00 0.082 0.003 0
2004 01 16 14 00 0.124 0.004 0
2004 01 16 15 00 0.174 0.002 0
2004 01 16 16 00 0.219 0.003 0
2004 01 16 17 00 0.244 0.004 0
2004 01 16 18 00 0.288 0.004 0
2004 01 16 19 00 0.331 0.003 0
2004 01 16 20 00 0.366 0.004 0
2004 01 16 21 00 0.387 0.002 0
2004 01 16 22 00 0.385 0.003 0
2004 01 16 23 00 0.394 0.003 0
2004 01 17 00 00 0.418 0.004 0
2004 01 17 01 00 0.415 0.004 0
2004 01 17 02 00 0.378 0.004 0
2004 01 17 03 00 0.334 0.002 0
2004 01 17 04 00 0.266 0.005 0
2004 01 17 05 00 0.194 0.001 0
2004 01 17 06 00 0.148 0.002 0
2004 01 17 07 00 0.123 0.004 0
2004 01 17 08 00 0.101 0.003 0
2004 01 17 09 00 0.053 0.004 0
2004 01 17 10 00 0.047 0.003 0
2004 01 17 11 00 0.039 0.002 0
2004 01 17 12 00 0.086 0.002 0
2004 01 17 13 00 0.136 0.005 0
2004 01 17 14 00 0.201 0.009 0
2004 01 17 15 00 0.259 0.009 0
2004 01 17 16 00 0.412 0.006 0
2004 01 17 17 00 0.363 0.018 0
2004 01 17 18 00 0.355 0.012 0
2004 01 17 19 00 0.462 0.011 0
2004 01 17 20 00 0.547 0.008 0
2004 01 17 21 00 0.577 0.005 0
2004 01 17 22 00 0.615 0.006 0
2004 01 17 23 00 0.507 0.004 0
2004 01 18 00 00 0.524 0.010 0
2004 01 18 01 00 0.516 0.006 0
2004 01 18 02 00 0.550 0.010 0
2004 01 18 03 00 0.498 0.017 0
2004 01 18 04 00 0.430 0.013 0
2004 01 18 05 00 0.346 0.013 0
2004 01 18 06 00 0.284 0.007 0
2004 01 18 07 00 0.210 0.005 0
2004 01 18 08 00 0.155 0.005 0
2004 01 18 09 00 0.097 0.004 0
2004 01 18 10 00 0.052 0.010 0
2004 01 18 11 00 0.044 0.014 0
2004 01 18 12 00 0.044 0.003 0
2004 01 18 13 00 0.084 0.006 0
2004 01 18 14 00 0.135 0.003 0
2004 01 18 15 00 0.202 0.005 0
2004 01 18 16 00 0.274 0.003 0
2004 01 18 17 00 0.319 0.004 0
2004 01 18 18 00 0.389 0.006 0
2004 01 18 19 00 0.416 0.004 0
2004 01 18 20 00 0.461 0.003 0
2004 01 18 21 00 0.481 0.003 0
2004 01 18 22 00 0.503 0.004 0
2004 01 18 23 00 0.527 0.003 0
2004 01 19 00 00 0.516 0.003 0
2004 01 19 01 00 0.506 0.005 0
2004 01 19 02 00 0.479 0.005 0
2004 01 19 03 00 0.428 0.007 0
2004 01 19 04 00 0.323 0.005 0
2004 01 19 05 00 0.259 0.006 0
2004 01 19 06 00 0.145 0.016 0
2004 01 19 07 00 0.036 0.012 0
2004 01 19 08 00 -0.005 0.005 0
2004 01 19 09 00 -0.149 0.004 0
2004 01 19 10 00 -0.159 0.004 0
2004 01 19 11 00 -0.233 0.003 0
2004 01 19 12 00 -0.256 0.008 0
2004 01 19 13 00 -0.283 0.003 0
2004 01 19 14 00 -0.212 0.005 0
2004 01 19 15 00 -0.123 0.004 0
2004 01 19 16 00 -0.058 0.002 0
